ine_code,status,technology,project_count,mw_nominal,hectares,turbines,name,province
21066,favorable_condicionada,hibrida,1,48.0,98.2,48,San Silvestre de Guzmán,Huelva
21070,favorable_condicionada,solar_fv,4,544.496,1511.53,0,Trigueros,Huelva
21073,favorable_condicionada,hibrida,1,48.0,98.2,48,Villablanca,Huelva
23050,desconocido,solar_fv,1,3.3,6.78,0,Jaén,Jaén
23056,favorable_condicionada,solar_fv,1,130.68,263.36,0,Lopera,Jaén
23059,favorable_condicionada,solar_fv,1,130.68,263.36,0,Marmolejo,Jaén
29012,favorable_condicionada,solar_fv,1,199.46,333.88,0,Álora,Málaga
29015,favorable_condicionada,solar_fv,1,48.0,145.51,0,Antequera,Málaga
29017,desfavorable,solar_fv,1,83.0,123.6,0,Archidona,Málaga
29017,favorable_condicionada,solar_fv,1,48.0,145.51,0,Archidona,Málaga
29031,desfavorable,eolica,1,25.12,0.0,7,El Burgo,Málaga
29035,desfavorable,eolica,1,25.12,0.0,7,Cañete la Real,Málaga
29040,desfavorable,eolica,1,25.12,0.0,7,Casarabonela,Málaga
29040,desfavorable,solar_fv,1,62.5,94.75,0,Casarabonela,Málaga
29040,favorable_condicionada,solar_fv,3,320.56,909.14,0,Casarabonela,Málaga
29041,desfavorable,eolica,1,216.6,0.0,38,Casares,Málaga
29041,desfavorable,solar_fv,1,801.0,1326.26,0,Casares,Málaga
29042,favorable_condicionada,solar_fv,1,0.0,333.16,0,Coín,Málaga
29056,desfavorable,eolica,1,216.6,0.0,38,Gaucín,Málaga
29056,desfavorable,solar_fv,1,801.0,1326.26,0,Gaucín,Málaga
29080,favorable_condicionada,solar_fv,2,121.1,575.26,0,Pizarra,Málaga
29084,favorable_condicionada,solar_fv,1,279.0,447.23,0,Ronda,Málaga
29095,desfavorable,solar_fv,1,83.0,123.6,0,Villanueva de Algaidas,Málaga
29098,desfavorable,solar_fv,1,83.0,123.6,0,Villanueva de Tapia,Málaga
29903,favorable_condicionada,solar_fv,1,279.0,447.23,0,Montecorto,Málaga
41004,desconocido,hibrida,1,24.04,1.6336,0,Alcalá de Guadaíra,Sevilla
41004,desconocido,solar_fv,1,150.0,0.0,0,Alcalá de Guadaíra,Sevilla
41004,favorable_condicionada,solar_fv,1,186.4,501.29,0,Alcalá de Guadaíra,Sevilla
41022,favorable_condicionada,hibrida,1,98.0,267.8,0,La Campana,Sevilla
41024,favorable_condicionada,hibrida,1,98.0,267.8,0,Carmona,Sevilla
41024,favorable_condicionada,solar_fv,2,480.0,1246.96,0,Carmona,Sevilla
41038,desconocido,solar_fv,1,114.95,184.56,0,Dos Hermanas,Sevilla
41038,favorable_condicionada,solar_fv,1,0.0,360.24,0,Dos Hermanas,Sevilla
41042,favorable_condicionada,hibrida,1,98.0,267.8,0,Fuentes de Andalucía,Sevilla
41058,favorable_condicionada,solar_fv,1,0.0,360.0,0,Mairena del Alcor,Sevilla
41085,favorable_condicionada,solar_fv,1,69.6,212.7,0,Salteras,Sevilla
41091,desconocido,solar_fv,1,114.95,184.56,0,Sevilla,Sevilla
41095,desconocido,solar_fv,1,150.0,0.0,0,Utrera,Sevilla
41095,favorable_condicionada,solar_fv,1,186.4,501.29,0,Utrera,Sevilla
41096,favorable_condicionada,solar_fv,1,69.6,212.7,0,Valencina de la Concepción,Sevilla
