id,canonical_name,developer,technology,status,mw_peak,mw_nominal,hectares,turbines,first_seen,last_seen,municipalities,ine_codes,provinces,document_urls
86,Parque Eólico Villanueva,"Villanueva Energy, S.L.",eolica,favorable_condicionada,40.6,40.6,,7,2023-01-27,2023-03-30,Algámitas; La Puebla de Cazalla; Pruna; Villanueva de San Juan,41008;41077;41076;41100,Sevilla,https://juntadeandalucia.es/eboja/2023/18/BOJA23-018-00001-1401-01_00276494.pdf https://juntadeandalucia.es/eboja/2023/61/BOJA23-061-00001-2997-01_00278058.pdf
88,Planta solar fotovoltaica Arraez,"Alfa Conexión Energía, S.L.",solar_fv,favorable_condicionada,40.0,,,,2023-01-30,2023-01-30,San Roque,11033,Cádiz,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00001-1210-01_00276297.pdf
89,Planta Solar Fotovoltaica Mitralex Puerto de Santa María,Mitralex Energía S.L.,solar_fv,favorable_condicionada,49.9,,,,2023-01-30,2023-03-29,San Martín del Tesorillo,11903,Cádiz,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00001-1551-01_00276664.pdf https://juntadeandalucia.es/eboja/2023/60/BOJA23-060-00001-5578-01_00280622.pdf
90,Gelo,"Zumirito, S.L.",solar_fv,favorable_condicionada,45.52,39.6,,,2023-01-30,2023-01-30,Bollullos de la Mitación; Huévar del Aljarafe; Pilas,41016;41051;41075,Sevilla,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00002-1312-01_00276476.pdf
92,Parque Eólico Las Cabreras,"Cabreras Wind Energy, S.L.",eolica,favorable_condicionada,12.0,12.0,,,2023-01-30,2023-01-30,La Puebla de Cazalla; Villanueva de San Juan,41077;41100,Sevilla,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00001-1399-01_00276500.pdf
93,Parque Eólico Cortijo Nuevo,"Cortijo Nuevo Energy, S.L.",eolica,favorable_condicionada,12.0,12.0,,,2023-01-30,2023-01-30,Villanueva de San Juan,41100,Sevilla,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00001-1400-01_00276503.pdf
94,Parque Eólico Las Hazas,"Hazas Energy, S.L.",eolica,favorable_condicionada,46.4,45.0,,,2023-01-30,2023-01-30,La Puebla de Cazalla,41077,Sevilla,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00001-1403-01_00276496.pdf
95,planta solar fotovoltaica (PSFV) y línea subterránea de medio tensión de 30 kV,"LDV Sierra de Arcas, S.L.",solar_fv,desconocido,,,,,2023-01-30,2026-05-25,Antequera; Archidona; Villanueva de Algaidas,29015;29017;29095,Málaga,https://juntadeandalucia.es/eboja/2023/19/BOJA23-019-00001-1445-01_00276561.pdf https://juntadeandalucia.es/eboja/2026/98/BOJA26-098-00001-6096-01_00337333.pdf
97,"PSFV Lobatón II-Coloada III de 47,7 MW y su línea de evacuación","Benbros Solar Fotovoltaica 2, S.L.",solar_fv,favorable_condicionada,47.7,47.7,,,2019-03-11,2026-05-06,Alcalá de los Gazules; Arcos de la Frontera; Chiclana de la Frontera; El Puerto de Santa María; Jerez de la Frontera; Medina Sidonia; Paterna de Rivera; Puerto Real; San Fernando; Sanlúcar de Barrameda,11001;11006;11015;11027;11020;11023;11025;11028;11031;11032,Cádiz,https://juntadeandalucia.es/eboja/2019/47/BOJA19-047-00001-18098-01_00145435.pdf https://juntadeandalucia.es/eboja/2022/248/BOJA22-248-00001-19647-01_00272926.pdf https://juntadeandalucia.es/eboja/2022/248/BOJA22-248-00001-19650-01_00272927.pdf https://juntadeandalucia.es/eboja/2023/103/BOJA23-103-00001-20768-01_00274010.pdf https://juntadeandalucia.es/eboja/2023/29/BOJA23-029-00001-2284-01_00277383.pdf https://juntadeandalucia.es/eboja/2023/83/BOJA23-083-00001-20770-01_00274074.pdf https://juntadeandalucia.es/eboja/2023/84/BOJA23-084-00001-6941-01_00281978.pdf https://juntadeandalucia.es/eboja/2024/12/BOJA24-012-00001-18541-01_00293614.pdf https://juntadeandalucia.es/eboja/2024/175/BOJA24-175-00001-50149-01_00307098.pdf https://juntadeandalucia.es/eboja/2024/185/BOJA24-185-00001-47443-01_00304393.pdf https://juntadeandalucia.es/eboja/2024/185/BOJA24-185-00001-48509-01_00305457.pdf https://juntadeandalucia.es/eboja/2024/62/BOJA24-062-00001-42424-01_00299331.pdf https://juntadeandalucia.es/eboja/2024/77/BOJA24-077-00001-43429-01_00300377.pdf https://juntadeandalucia.es/eboja/2025/122/BOJA25-122-00001-9109-01_00322708.pdf https://juntadeandalucia.es/eboja/2025/23/BOJA25-023-00001-1311-01_00314921.pdf https://juntadeandalucia.es/eboja/2025/24/BOJA25-024-00001-1309-01_00314919.pdf https://juntadeandalucia.es/eboja/2025/49/BOJA25-049-00001-3360-01_00317102.pdf https://juntadeandalucia.es/eboja/2025/52/BOJA25-052-00001-3751-01_00317356.pdf https://juntadeandalucia.es/eboja/2025/63/BOJA25-063-00001-4091-01_00317694.pdf https://juntadeandalucia.es/eboja/2026/85/BOJA26-085-00001-5074-01_00336311.pdf
100,CSF El Puerto III,"Gandasolar 5, S.L.",,favorable_condicionada,,,,,2024-10-29,2024-10-29,Los Barrios,11008,Cádiz,https://juntadeandalucia.es/eboja/2024/211/BOJA24-211-00001-52262-01_00309210.pdf
102,Camino de Indias 102,"Lemon Tree Power Ren 5, S.L.U.",solar_fv,desconocido,4.99,,,,2025-09-29,2025-09-29,Montilla,14042,Córdoba,https://juntadeandalucia.es/eboja/2025/187/BOJA25-187-00001-11836-01_00325434.pdf
105,Parque Solar Fotovoltaico Aljarafe 9 y su infraestructura de evacuación,"Premier SPV 14, S.L",solar_fv,favorable_condicionada,56.99,,,,2023-01-12,2026-07-29,La Rinconada,41081,Sevilla,https://juntadeandalucia.es/eboja/2023/7/BOJA23-007-00001-21688-01_00275278.pdf https://juntadeandalucia.es/eboja/2024/106/BOJA24-106-00001-45467-01_00302417.pdf https://juntadeandalucia.es/eboja/2024/38/BOJA24-038-00002-1456-01_00297444.pdf https://juntadeandalucia.es/eboja/2026/145/BOJA26-145-00001-9913-01_00341144.pdf
