id,source,source_id,published_at,title,url,project_id,role,match_score,confidence,verdict,doc_type
11,boe,BOE-A-2022-15703,2022-09-26,"Resolución de 16 de septiembre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque Fotovoltaico Retuerta de 38 MW de potencia instalada, para su hibridación con el Parque Eólico existente Retuerta de 38 MW, y su infraestructura de evacuación, en El Almendro (Huelva)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-15703,11,dia,1.0,0.98,favorable_condicionada,dia
12,boe,BOE-A-2022-17801,2022-10-31,"Resolución de 21 de octubre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula la declaración de impacto ambiental del proyecto ""Parque fotovoltaico Andrea de 250 MW y de su infraestructura de evacuación asociada, en Antas (Almería)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-17801,12,dia,1.0,1.0,favorable_condicionada,dia
13,boe,BOE-A-2022-18089,2022-11-03,"Resolución de 26 de octubre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta fotovoltaica Carbo de 90 MWp y su infraestructura de evacuación, en Fuente Palmera, Guadalcázar y Almodóvar del Río (Córdoba)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-18089,13,dia,1.0,0.98,favorable_condicionada,dia
14,boe,BOE-A-2022-18451,2022-11-10,"Resolución de 31 de octubre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta fotovoltaica Caparacena 220, de 99 MW instalados y sus infraestructuras de evacuación, en Moclín (Granada)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-18451,14,dia,1.0,1.0,favorable_condicionada,dia
15,boe,BOE-A-2022-18545,2022-11-11,"Resolución de 4 de noviembre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque fotovoltaico La Dehesilla de 100 MWp, y su infraestructura de evacuación, en los términos municipales de Córdoba y Montemayor (Córdoba)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-18545,15,dia,1.0,1.0,desfavorable,dia
16,boe,BOE-A-2022-22104,2022-12-23,"Resolución de 15 de diciembre de 2022, de la Dirección General de Calidad y Evaluación Ambiental por la que se formula declaración de impacto ambiental del proyecto ""Planta fotovoltaica Caparacena 400, de 230 MW instalados, en Iznalloz y Píñar (Granada)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-22104,16,dia,1.0,1.0,favorable_condicionada,dia
17,boe,BOE-A-2022-22444,2022-12-26,"Resolución de 16 de diciembre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta solar fotovoltaica Cabra 0 de 250 MWp/188 MWn y su infraestructura de evacuación, en Montemayor, Espejo, Castro del Río y Cabra (Córdoba)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-22444,17,dia,1.0,0.98,favorable_condicionada,dia
18,boe,BOE-A-2022-24404,2022-12-30,"Resolución de 22 de diciembre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula la declaración de impacto ambiental del proyecto ""Planta fotovoltaica híbrida Majal Alto de 43,5 MWn en la provincia de Huelva"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-24404,18,dia,1.0,1.0,favorable_condicionada,dia
19,boe,BOE-A-2023-1929,2023-01-23,"Resolución de 27 de diciembre de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Instalación de generación fotovoltaica denominada ""FV Herradura"" de 100 MWp, y su infraestructura de evacuación, en Jimena de la Frontera y Castellar de la Frontera (Cádiz)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-1929,19,dia,1.0,1.0,favorable_condicionada,dia
20,boe,BOE-A-2023-1930,2023-01-23,"Resolución de 2 de enero de 2023, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque solar fotovoltaico Caparacena de 329,79 MWp/275 MWn, y su infraestructura de evacuación, en Cacín, Ventas de Huelma, Chimeneas, Cijuela, Láchar, Pinos Puente, Valderrubio, Íllora y Atarfe (Granada)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2023-1930,20,dia,1.0,1.0,favorable_condicionada,dia
